model,maze,size,category,mazeType,strategy,history,total,correct,wrong,exceptions,accuracy,wrongRate,exceptionRate,timePerCell,passableCells,edges
deepseek-r1:14b,5x5_corridor_straight,5,corridor,corridor_straight,graph,no,6,6,0,0,100,0,0,25.24,7,6
deepseek-r1:14b,5x5_corridor_straight,5,corridor,corridor_straight,graph,yes,6,6,0,0,100,0,0,30.84,7,6
deepseek-r1:14b,5x5_corridor_straight,5,corridor,corridor_straight,list,no,6,6,0,0,100,0,0,31.96,7,6
deepseek-r1:14b,5x5_corridor_straight,5,corridor,corridor_straight,list,yes,6,6,0,0,100,0,0,32.09,7,6
deepseek-r1:14b,5x5_corridor_straight,5,corridor,corridor_straight,matrix,no,6,5,1,0,83.3,16.7,0,49.81,7,6
deepseek-r1:14b,5x5_corridor_straight,5,corridor,corridor_straight,matrix,yes,6,5,1,0,83.3,16.7,0,41.71,7,6
deepseek-r1:14b,5x5_corridor_straight,5,corridor,corridor_straight,simple,no,6,6,0,0,100,0,0,71.13,7,6
deepseek-r1:14b,5x5_corridor_straight,5,corridor,corridor_straight,simple,yes,6,6,0,0,100,0,0,74.79,7,6
deepseek-r1:14b,5x5_open_empty,5,open,open_empty,graph,no,8,8,0,0,100,0,0,54.21,9,12
deepseek-r1:14b,5x5_open_empty,5,open,open_empty,graph,yes,8,8,0,0,100,0,0,42.85,9,12
deepseek-r1:14b,5x5_open_empty,5,open,open_empty,list,no,8,8,0,0,100,0,0,20.57,9,12
deepseek-r1:14b,5x5_open_empty,5,open,open_empty,list,yes,8,8,0,0,100,0,0,29.33,9,12
deepseek-r1:14b,5x5_open_empty,5,open,open_empty,matrix,no,8,7,1,0,87.5,12.5,0,59.58,9,12
deepseek-r1:14b,5x5_open_empty,5,open,open_empty,matrix,yes,8,8,0,0,100,0,0,58.87,9,12
deepseek-r1:14b,5x5_open_empty,5,open,open_empty,simple,no,8,8,0,0,100,0,0,74.84,9,12
deepseek-r1:14b,5x5_open_empty,5,open,open_empty,simple,yes,8,8,0,0,100,0,0,78.33,9,12
deepseek-r1:14b,7x7_corridor_branch,7,corridor,corridor_branch,graph,no,17,13,4,0,76.5,23.5,0,25.76,18,18
deepseek-r1:14b,7x7_corridor_branch,7,corridor,corridor_branch,graph,yes,17,15,2,0,88.2,11.8,0,28.63,18,18
deepseek-r1:14b,7x7_corridor_branch,7,corridor,corridor_branch,list,no,17,14,3,0,82.4,17.6,0,27.72,18,18
deepseek-r1:14b,7x7_corridor_branch,7,corridor,corridor_branch,list,yes,17,15,2,0,88.2,11.8,0,27.53,18,18
deepseek-r1:14b,7x7_corridor_branch,7,corridor,corridor_branch,matrix,no,17,11,6,0,64.7,35.3,0,65.34,18,18
deepseek-r1:14b,7x7_corridor_branch,7,corridor,corridor_branch,matrix,yes,17,10,7,0,58.8,41.2,0,64.36,18,18
deepseek-r1:14b,7x7_corridor_branch,7,corridor,corridor_branch,simple,no,17,14,3,0,82.4,17.6,0,96.09,18,18
deepseek-r1:14b,7x7_corridor_branch,7,corridor,corridor_branch,simple,yes,17,13,4,0,76.5,23.5,0,100.17,18,18
deepseek-r1:14b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,graph,no,16,15,1,0,93.7,6.3,0,37.07,17,16
deepseek-r1:14b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,graph,yes,16,12,4,0,75,25,0,43.86,17,16
deepseek-r1:14b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,list,no,16,16,0,0,100,0,0,46.97,17,16
deepseek-r1:14b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,list,yes,16,14,2,0,87.5,12.5,0,28.71,17,16
deepseek-r1:14b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,matrix,no,16,12,4,0,75,25,0,92.36,17,16
deepseek-r1:14b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,matrix,yes,16,14,2,0,87.5,12.5,0,81.11,17,16
deepseek-r1:14b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,simple,no,16,12,4,0,75,25,0,115.82,17,16
deepseek-r1:14b,7x7_corridor_dead-end,7,corridor,corridor_dead-end,simple,yes,16,10,6,0,62.5,37.5,0,131.44,17,16
deepseek-r1:14b,7x7_corridor_loop,7,corridor,corridor_loop,graph,no,18,14,4,0,77.8,22.2,0,34.96,19,20
deepseek-r1:14b,7x7_corridor_loop,7,corridor,corridor_loop,graph,yes,18,17,1,0,94.4,5.6,0,33.83,19,20
deepseek-r1:14b,7x7_corridor_loop,7,corridor,corridor_loop,list,no,18,16,2,0,88.9,11.1,0,40.1,19,20
deepseek-r1:14b,7x7_corridor_loop,7,corridor,corridor_loop,list,yes,18,14,4,0,77.8,22.2,0,28.7,19,20
gemma3:12b,11x11_corridor_branch,11,corridor,corridor_branch,graph,no,49,21,28,0,42.9,57.1,0,0.93,50,50
gemma3:12b,11x11_corridor_branch,11,corridor,corridor_branch,graph,yes,49,22,27,0,44.9,55.1,0,0.98,50,50
gemma3:12b,11x11_corridor_branch,11,corridor,corridor_branch,list,no,49,21,28,0,42.9,57.1,0,0.45,50,50
gemma3:12b,11x11_corridor_branch,11,corridor,corridor_branch,list,yes,49,18,31,0,36.7,63.3,0,0.5,50,50
gemma3:12b,11x11_corridor_branch,11,corridor,corridor_branch,matrix,no,49,15,34,0,30.6,69.4,0,0.46,50,50
gemma3:12b,11x11_corridor_branch,11,corridor,corridor_branch,matrix,yes,49,12,37,0,24.5,75.5,0,0.5,50,50
gemma3:12b,11x11_corridor_branch,11,corridor,corridor_branch,simple,no,49,20,29,0,40.8,59.2,0,0.46,50,50
gemma3:12b,11x11_corridor_branch,11,corridor,corridor_branch,simple,yes,49,14,35,0,28.6,71.4,0,0.51,50,50
gemma3:12b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,graph,no,48,16,32,0,33.3,66.7,0,0.92,49,48
gemma3:12b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,graph,yes,48,13,35,0,27.1,72.9,0,0.97,49,48
gemma3:12b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,list,no,48,20,28,0,41.7,58.3,0,0.47,49,48
gemma3:12b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,list,yes,48,15,33,0,31.2,68.8,0,0.5,49,48
gemma3:12b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,matrix,no,48,12,36,0,25,75,0,0.47,49,48
gemma3:12b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,matrix,yes,48,12,36,0,25,75,0,0.51,49,48
gemma3:12b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,simple,no,48,16,32,0,33.3,66.7,0,0.46,49,48
gemma3:12b,11x11_corridor_dead-end,11,corridor,corridor_dead-end,simple,yes,48,7,41,0,14.6,85.4,0,0.51,49,48
gemma3:12b,11x11_corridor_loop,11,corridor,corridor_loop,graph,no,50,16,34,0,32,68,0,0.96,51,52
gemma3:12b,11x11_corridor_loop,11,corridor,corridor_loop,graph,yes,50,14,36,0,28,72,0,0.99,51,52
gemma3:12b,11x11_corridor_loop,11,corridor,corridor_loop,list,no,50,23,27,0,46,54,0,0.46,51,52
gemma3:12b,11x11_corridor_loop,11,corridor,corridor_loop,list,yes,50,25,25,0,50,50,0,0.5,51,52
gemma3:12b,11x11_corridor_loop,11,corridor,corridor_loop,matrix,no,50,19,31,0,38,62,0,0.46,51,52
gemma3:12b,11x11_corridor_loop,11,corridor,corridor_loop,matrix,yes,50,20,30,0,40,60,0,0.5,51,52
gemma3:12b,11x11_corridor_loop,11,corridor,corridor_loop,simple,no,50,29,21,0,58,42,0,0.47,51,52
gemma3:12b,11x11_corridor_loop,11,corridor,corridor_loop,simple,yes,50,9,41,0,18,82,0,0.5,51,52
gemma3:12b,11x11_corridor_spiral,11,corridor,corridor_spiral,graph,no,48,9,39,0,18.7,81.3,0,0.93,49,48
gemma3:12b,11x11_corridor_spiral,11,corridor,corridor_spiral,graph,yes,48,9,39,0,18.7,81.3,0,0.98,49,48
gemma3:12b,11x11_corridor_spiral,11,corridor,corridor_spiral,list,no,48,7,41,0,14.6,85.4,0,0.47,49,48
gemma3:12b,11x11_corridor_spiral,11,corridor,corridor_spiral,list,yes,48,11,37,0,22.9,77.1,0,0.51,49,48
